"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00024127","1948-01","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",X","5",",X","1",",X","0",",X","5",",X","1",",X","0",",X","27",",X","5",",X","0",",X","0",",X","2","","","","19480119",",,X","19480119","+,,X","19480118",",,X","","","19480118",",,X","19480107","+,,X","-15.6",",X,19,","76",",,X,19,+","91",",,X,18,","4.8",",,X,18,","12.8",",X,07,+","","","","","","","601.0",",X","","","","","","","","","","","","","","","","","","","","","8.7",",,,X","","","","","","","","","94",",,,X","-1.05",",X","4.08",",,,X","-6.18",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-02","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",X","6",",X","5",",X","0",",X","6",",X","3",",X","0",",X","26",",X","4",",X","0",",X","0",",X","1","","","","19480212",",,X","19480210",",,X","19480209",",,X","1","","19480222",",,X","19480216",",,X","-16.1",",X,12,","76",",,X,10,","71",",,X,09,","9.7",",,X,22,","14.4",",X,16,","","","","","","","512.3",",X","","","","","","","","","","","","","","","","","","","","","21.9",",,,X","","","","","","","","","196",",,,X","0.67",",X","6.07",",,,X","-4.73",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-03","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",X","12",",X","6",",X","0",",X","7",",X","5",",X","0",",X","25",",X","2",",X","0",",X","0",",X","2","","","","19480321","+,,X","19480330","+,,X","19480330","+,,X","","","19480330",",,X","19480323",",,X","-10.0",",X,21,+","76",",,X,30,+","122",",,X,30,+","18.3",",,X,30,","17.2",",X,23,","","","","","","","505.5",",X","","","","","","","","","","","","","","","","","","","","","58.5",",,,X","","","","","","","","","522",",,,X","2.03",",X","7.15",",,,X","-3.09",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-04","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.3","0","0.3",",X","7",",X","5",",X","0",",X","0",",X","1",",X","0",",X","6",",X","0",",X","6",",X","0",",X","1","","","","19480407",",,X","19480406",",,X","19480406",",,X","1","","19480410","+,,X","19480428",",,X","-3.3",",X,07,","0",",T,X,06,","38",",,X,06,","9.7",",,X,10,+","26.7",",X,28,","","","","","","","254.5",",X","","","","","","","","","","","","","","","","","","","","","39.7",",,,X","","","","","","","","","48",",,,X","9.86",",X","16.14",",,,X","3.58",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-05","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","27.9","0","27.6",",X","4",",X","2",",X","0",",X","0",",X","0",",X","0",",X","3",",X","0",",X","21",",X","1",",X","","","","","19480503",",,X","19480531","+,,X","19480509","+,,X","2","","19480508","+,,X","19480516",",,X","-2.2",",X,03,","0",",,X,31,+","0",",T,X,09,+","2.8",",,X,08,+","32.2",",X,16,","","","","","","","130.0",",X","","","","","","","","","","","","","","","","","","","","","6.6",",,,X","","","","","","","","","0",",T,,X","15.03",",X","23.07",",,,X","6.99",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-06","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","101.3","0","73.4",",X","8",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","7",",X","1","","","","19480622",",,X","19480630","+,,X","19480630","+,,X","6","","19480621",",,X","19480630",",,X","7.8",",X,22,","0",",,X,30,+","0",",,X,30,+","44.5",",,X,21,","35.0",",X,30,","","","","","","","23.0",",X","","","","","","","","","","","","","","","","","","","","","62.9",",,,X","","","","","","","","","0",",,,X","20.01",",X","27.82",",,,X","12.20",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-07","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","288.0","0","186.7",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","24",",0","","","","","19480729",",,0","19480731","+,,0","19480731","+,,0","5","","19480724",",,0","19480710",",,0","7.2",",0,29,","0",",,0,31,+","0",",,0,31,+","4.6",",,0,24,","37.8",",0,10,","3.0","0","","","","","3.0",",0","","","","","","","","","","","","","","","","","","","","","10.0",",,,0","","","","","","","","","0",",,,0","24.26",",0","32.86",",,,0","15.65",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-08","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","470.5","0","182.5",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","","","","","19480825",",,0","19480831","+,,0","19480831","+,,0","6","","19480805",",,0","19480829",",,0","7.8",",0,25,","0",",,0,31,+","0",",,0,31,+","6.1",",,0,05,","37.2",",0,29,","5.2","0","","","","","2.2",",0","","","","","","","","","","","","","","","","","","","","","12.5",",,,0","","","","","","","","","0",",,,0","24.15",",0","32.70",",,,0","15.60",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-09","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","535.6","0","65.1",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","7",",0","","","","","19480927",",,0","19480930","+,,0","19480930","+,,0","3","","19480918",",,0","19480914",",,0","1.1",",0,27,","0",",,0,30,+","0",",,0,30,+","10.7",",,0,18,","35.6",",0,14,","54.7","0","","","","","49.5",",0","","","","","","","","","","","","","","","","","","","","","15.0",",,,0","","","","","","","","","0",",,,0","18.85",",0","27.21",",,,0","10.50",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-10","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","541.4","0","5.8",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","14",",0","0",",0","","","","","19481017",",,0","19481031","+,,0","19481028","+,,0","2","","19481005",",,0","19481002",",,0","-2.2",",0,17,","0",",,0,31,+","0",",T,0,28,+","8.4",",,0,05,","28.9",",0,02,","265.1","0","","","","","210.4",",0","","","","","","","","","","","","","","","","","","","","","22.1",",,,0","","","","","","","","","0",",T,,0","11.73",",0","19.11",",,,0","4.36",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-11","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","541.4","0","0.0",",0","17",",X","8",",X","0",",X","7",",0","4",",0","0",",0","25",",0","1",",0","0",",0","0",",0","2","","","","19481127",",,0","19481120",",,0","19481119",",,0","1","","19481117",",,X","19481114",",,0","-10.6",",0,27,","102",",,0,20,","76",",,0,19,","6.6",",,X,17,","17.8",",0,14,","757.4","0","","","","","492.3",",0","","","","","","","","","","","","","","","","","","","","","43.4",",,,X","","","","","","","","","285",",,,0","1.92",",0","6.94",",,,0","-3.10",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1948-12","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","541.4","0","0.0",",0","16",",0","8",",0","0",",0","27",",0","8",",0","3",",0","28",",0","13",",0","0",",0","0",",0","6","","","","19481225",",,0","19481228",",,0","19481204",",,0","1","","19481204",",,0","19481212",",,0","-20.0",",0,25,","356",",,0,28,","221",",,0,04,","16.0",",,0,04,","11.1",",0,12,","1443.3","0","","","","","685.9",",0","","","","","","","","","","","","","","","","","","","","","66.8",",,,0","","","","","","","","","872",",,,0","-3.79",",0","1.31",",,,0","-8.90",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-01","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",0","15",",0","7",",0","0",",0","31",",0","9",",0","15",",0","31",",0","26",",0","0",",0","0",",0","10","","","","19490125",",,0","19490124","+,,0","19490120",",,0","","","19490122",",,0","19490121","+,,0","-30.0",",0,25,","584",",,0,24,+","163",",,0,20,","15.0",",,0,22,","2.2",",0,21,+","2363.7","0","","","","","920.4",",0","","","","","","","","","","","","","","","","","","","","","58.7",",,,0","","","","","","","","","764",",,,0","-11.36",",0","-5.73",",,,0","-16.98",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-02","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",0","7",",0","3",",0","0",",0","28",",0","3",",0","5",",0","28",",0","13",",0","0",",0","0",",0","13","","","","19490203",",,0","19490202","+,,0","19490211",",,0","1","","19490212","+,,0","19490221",",,0","-23.3",",0,03,","432",",,0,02,+","127",",,0,11,","5.6",",,0,12,+","8.3",",0,21,","3021.0","0","","","","","657.3",",0","","","","","","","","","","","","","","","","","","","","","16.4",",,,0","","","","","","","","","262",",,,0","-5.14",",0","0.37",",,,0","-10.65",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-03","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",0","12",",0","8",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","1",",0","0",",0","3","","","","19490328",",,0","19490323","+,,0","19490323","+,,0","2","","19490323",",,0","19490319",",,0","-3.9",",0,28,","0",",T,0,23,+","20",",,0,23,+","22.4",",,0,23,","21.7",",0,19,","3410.3","0","","","","","389.3",",0","","","","","","","","","","","","","","","","","","","","","75.2",",,,0","","","","","","","","","58",",,,0","5.78",",0","10.91",",,,0","0.65",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-04","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","2.8","0","2.8",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","13",",0","0",",0","1","","","","19490402",",,0","19490430","+,,0","19490430","+,,0","1","","19490408",",,0","19490423",",,0","-1.1",",0,02,","0",",,0,30,+","0",",T,0,30,+","23.9",",,0,08,","28.3",",0,23,","3603.8","0","","","","","193.5",",0","","","","","","","","","","","","","","","","","","","","","31.9",",,,0","","","","","","","","","0",",T,,0","11.98",",0","19.27",",,,0","4.68",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-05","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","15.3","0","12.5",",0","12",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","","","","","19490520",",,0","19490531","+,,0","19490531","+,,0","10","","19490520",",,0","19490526",",,0","2.8",",0,20,","0",",,0,31,+","0",",,0,31,+","25.4",",,0,20,","31.1",",0,26,","3700.8","0","","","","","97.0",",0","","","","","","","","","","","","","","","","","","","","","67.6",",,,0","","","","","","","","","0",",,,0","15.61",",0","22.31",",,,0","8.90",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-06","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","77.6","0","62.3",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","4",",0","","","","","19490603",",,0","19490630","+,,0","19490602",",,0","5","","19490616",",,0","19490616",",,0","5.0",",0,03,","0",",,0,30,+","0",",T,0,02,","1.3",",,0,16,","33.9",",0,16,","3730.8","0","","","","","30.0",",0","","","","","","","","","","","","","","","","","","","","","4.4",",,,0","","","","","","","","","0",",T,,0","19.41",",0","27.16",",,,0","11.66",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-07","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","280.3","0","202.7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","24",",0","","","","","19490721",",,0","19490731","+,,0","19490731","+,,0","6","","19490702",",,0","19490731",",,0","10.0",",0,21,","0",",,0,31,+","0",",,0,31,+","6.1",",,0,02,","37.2",",0,31,","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","7.7",",,,0","","","","","","","","","0",",,,0","24.87",",0","33.22",",,,0","16.53",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-08","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","469.8","0","189.5",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","","","19490818",",,0","19490831","+,,0","19490824",",,0","5","","19490823",",,0","19490805",",,0","12.2",",0,18,","0",",,0,31,+","0",",T,0,24,","9.4",",,0,23,","38.9",",0,05,","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","17.8",",,,0","","","","","","","","","0",",T,,0","24.45",",0","32.87",",,,0","16.02",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-09","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","537.3","0","67.5",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","4",",0","","","","","19490918",",,0","19490930","+,,0","19490929",",,0","7","","19490909",",,0","19490906",",,0","2.2",",0,18,","0",",,0,30,+","0",",T,0,29,","10.7",",,0,09,","32.8",",0,06,","32.2","0","","","","","32.2",",0","","","","","","","","","","","","","","","","","","","","","16.4",",,,0","","","","","","","","","0",",T,,0","19.51",",0","27.96",",,,0","11.06",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-10","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","537.3","0","0.0",",0","10",",0","7",",0","0",",0","0",",0","1",",0","0",",0","9",",0","0",",0","6",",0","0",",0","3","","","","19491022",",,0","19491020",",,0","19491020",",,0","1","","19491018",",,0","19491004",",,0","-2.2",",0,22,","0",",T,0,20,","25",",,0,20,","17.5",",,0,18,","28.9",",0,04,","319.9","0","","","","","287.7",",0","","","","","","","","","","","","","","","","","","","","","70.8",",,,0","","","","","","","","","28",",,,0","9.05",",0","15.23",",,,0","2.87",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-11","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","537.3","0","0.0",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","22",",0","0",",0","0",",0","0",",0","8","","","","19491122","+,,0","19491130","+,,0","19491130","+,,0","","","19491110",",,0","19491126",",,0","-3.3",",0,22,+","0",",,0,30,+","0",",T,0,30,+","20.8",",,0,10,","20.0",",0,26,","664.9","0","","","","","345.0",",0","","","","","","","","","","","","","","","","","","","","","22.4",",,,0","","","","","","","","","0",",T,,0","6.83",",0","14.02",",,,0","-0.35",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1949-12","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","537.3","0","0.0",",0","10",",0","6",",0","0",",0","22",",0","7",",0","0",",0","31",",0","10",",0","0",",0","0",",0","2","","","","19491212",",,0","19491224","+,,0","19491224",",,0","","","19491209",",,0","19491205",",,0","-13.3",",0,12,","152",",,0,24,+","117",",,0,24,","7.1",",,0,09,","15.0",",0,05,","1266.1","0","","","","","601.2",",0","","","","","","","","","","","","","","","","","","","","","35.8",",,,0","","","","","","","","","483",",,,0","-1.06",",0","3.59",",,,0","-5.71",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-01","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",0","16",",0","5",",0","0",",0","25",",0","5",",0","1",",0","26",",0","16",",0","0",",0","0",",0","","","","","19500103",",,0","19500128",",,0","19500123",",,0","2","","19500123",",,0","19500121","+,,0","-18.3",",0,03,","152",",,0,28,","140",",,0,23,","12.7",",,0,23,","13.3",",0,21,+","1928.3","0","","","","","662.2",",0","","","","","","","","","","","","","","","","","","","","","46.0",",,,0","","","","","","","","","580",",,,0","-3.03",",0","2.13",",,,0","-8.19",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-02","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",0","4",",0","2",",0","0",",0","4",",0","1",",0","3",",0","20",",0","3",",0","0",",0","0",",0","4","","","","19500203","+,,0","19500202","+,,0","19500207",",,0","2","","19500206",",,0","19500225",",,0","-20.0",",0,03,+","102",",,0,02,+","58",",,0,07,","18.8",",,0,06,","20.0",",0,25,","2377.5","0","","","","","449.2",",0","","","","","","","","","","","","","","","","","","","","","30.2",",,,0","","","","","","","","","58",",,,0","2.29",",0","7.93",",,,0","-3.35",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-03","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",0","10",",0","4",",0","0",",0","0",",0","2",",0","0",",0","22",",0","0",",0","0",",0","0",",0","","","","","19500313",",,0","19500331","+,,0","19500325",",,0","1","","19500319",",,0","19500304",",,0","-7.2",",0,13,","0",",,0,31,+","36",",,0,25,","5.3",",,0,19,","20.0",",0,04,","2794.7","0","","","","","417.2",",0","","","","","","","","","","","","","","","","","","","","","25.0",",,,0","","","","","","","","","101",",,,0","4.88",",0","10.92",",,,0","-1.16",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-04","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",0","6",",0","4",",0","0",",0","0",",0","1",",0","0",",0","12",",0","0",",0","7",",0","0",",0","2","","","","19500404",",,0","19500430","+,,0","19500429",",,0","2","","19500414",",,0","19500420",",,0","-3.9",",0,04,","0",",,0,30,+","46",",,0,29,","11.2",",,0,14,","25.0",",0,20,","3069.8","0","","","","","275.1",",0","","","","","","","","","","","","","","","","","","","","","32.8",",,,0","","","","","","","","","46",",,,0","9.16",",0","16.35",",,,0","1.98",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-05","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","4.5","0","4.5",",0","12",",0","5",",0","0",",0","0",",0","1",",0","0",",0","3",",0","0",",0","17",",0","0",",0","3","","","","19500519","+,,0","19500531","+,,0","19500503",",,0","4","","19500508",",,0","19500522",",,0","0.0",",0,19,+","0",",,0,31,+","56",",,0,03,","19.1",",,0,08,","30.0",",0,22,","3259.5","0","","","","","189.7",",0","","","","","","","","","","","","","","","","","","","","","55.5",",,,0","","","","","","","","","56",",,,0","12.36",",0","19.50",",,,0","5.22",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-06","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","64.1","0","59.6",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","4",",0","","","","","19500609",",,0","19500630","+,,0","19500607",",,0","1","","19500607",",,0","19500630",",,0","2.2",",0,09,","0",",,0,30,+","0",",T,0,07,","4.1",",,0,07,","35.6",",0,30,","3303.4","0","","","","","43.9",",0","","","","","","","","","","","","","","","","","","","","","4.1",",,,0","","","","","","","","","0",",T,,0","18.86",",0","27.95",",,,0","9.76",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-07","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","226.3","0","162.2",",0","4",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","15",",0","","","","","19500731",",,0","19500731","+,,0","19500709",",,0","8","","19500709",",,0","19500701",",,0","7.2",",0,31,","0",",,0,31,+","0",",T,0,09,","13.2",",,0,09,","38.3",",0,01,","2.2","0","","","","","2.2",",0","","","","","","","","","","","","","","","","","","","","","26.9",",,,0","","","","","","","","","0",",T,,0","23.49",",0","31.45",",,,0","15.53",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-08","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","377.2","0","150.9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","15",",0","","","","","19500806",",,0","19500831","+,,0","19500831","+,,0","3","","19500804",",,0","19500831",",,0","8.9",",0,06,","0",",,0,31,+","0",",,0,31,+","0.8",",,0,04,","36.7",",0,31,","2.2","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","0.8",",,,0","","","","","","","","","0",",,,0","23.20",",0","31.99",",,,0","14.41",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-09","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","428.3","0","51.1",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","6",",0","","","","","19500930","+,,0","19500930","+,,0","19500930","+,,0","6","","19500911",",,0","19500904",",,0","0.6",",0,30,+","0",",,0,30,+","0",",T,0,30,+","17.5",",,0,11,","36.7",",0,04,","79.8","0","","","","","77.6",",0","","","","","","","","","","","","","","","","","","","","","44.0",",,,0","","","","","","","","","0",",T,,0","17.45",",0","24.61",",,,0","10.29",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-10","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","435.3","0","7.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","22",",0","0",",0","","","","","19501001",",,0","19501031","+,,0","19501031","+,,0","","","19501031",",,0","19501013",",,0","-0.6",",0,01,","0",",,0,31,+","0",",,0,31,+","6.6",",,0,31,","28.3",",0,13,","209.0","0","","","","","129.2",",0","","","","","","","","","","","","","","","","","","","","","14.8",",,,0","","","","","","","","","0",",,,0","14.39",",0","22.29",",,,0","6.49",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-11","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","435.3","0","0.0",",0","8",",0","7",",0","0",",0","1",",0","1",",0","0",",0","17",",0","1",",0","0",",0","0",",0","10","","","","19501110",",,0","19501114",",,0","19501114",",,0","","","19501119",",,0","19501105",",,0","-10.6",",0,10,","51",",,0,14,","43",",,0,14,","8.6",",,0,19,","17.8",",0,05,","600.0","0","","","","","391.0",",0","","","","","","","","","","","","","","","","","","","","","50.8",",,,0","","","","","","","","","63",",,,0","5.30",",0","10.88",",,,0","-0.29",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1950-12","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","435.3","0","0.0",",0","8",",0","2",",0","0",",0","1",",0","2",",0","0",",0","22",",0","6",",0","0",",0","0",",0","15","","","","19501231",",,0","19501231",",,0","19501230",",,0","","","19501230",",,0","19501209",",,0","-6.7",",0,31,","51",",,0,31,","41",",,0,30,","4.1",",,0,30,","13.3",",0,09,","1110.2","0","","","","","510.2",",0","","","","","","","","","","","","","","","","","","","","","12.5",",,,0","","","","","","","","","97",",,,0","1.88",",0","4.41",",,,0","-0.66",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00024127","1951-01","40.77069","-111.96503","1288.4","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","","","","","","","","","","","0.0","0","0.0",",0","12",",0","3",",0","0",",0","14",",0","3",",0","0",",0","29",",0","6",",0","0",",0","0",",0","7","","","","19510131",",,0","19510122",",,0","19510122",",,0","","","19510122",",,0","19510115",",,0","-16.1",",0,31,","203",",,0,22,","119",",,0,22,","20.6",",,0,22,","11.7",",0,15,","1720.2","0","","","","","610.0",",0","","","","","","","","","","","","","","","","","","","","","43.1",",,,0","","","","","","","","","400",",,,0","-1.34",",0","3.25",",,,0","-5.94",",,,0","","","","","","","","","","","","","","","","","","","","","",""
